,Date,Customer Type,Delivery Type,Device Type,Revenue,before vs book,book vs select,select vs order,before vs order
138,2017-09-18,Existing,Home Delivery,Desktop ,1672969.0,-0.04974271012006861,-0.08283192940232652,-0.009457686420293024,-0.13669716028206594
139,2017-09-18,New,Store Collection,Desktop ,34120.0,-0.04216867469879518,-0.06918238993710692,-0.02027027027027027,-0.12650602409638553
140,2017-09-18,New,Home Delivery,Desktop ,304530.0,-0.053768084646944506,-0.1816522136010954,-0.022308979364194088,-0.24292809328438783
141,2017-09-18,New,Store Collection,Mobile ,3089.0,-0.13333333333333333,-0.057692307692307696,-0.04081632653061224,-0.21666666666666667
142,2017-09-18,Existing,Store Collection,Mobile ,353856.0,-0.06524766262184205,-0.08193232602681422,-0.07950857672693556,-0.2100656455142232
143,2017-09-18,New,Home Delivery,Mobile ,18711.0,-0.14698795180722893,-0.20056497175141244,-0.11307420494699646,-0.39518072289156625
144,2017-09-19,New,Store Collection,Desktop ,35206.0,-0.02032520325203252,-0.10580912863070539,-0.013921113689095127,-0.13617886178861788
145,2017-09-19,New,Home Delivery,Desktop ,311822.0,-0.02657588403250604,-0.1703519855595668,-0.022572749524068535,-0.21063035361300242
146,2017-09-19,Existing,Home Delivery,Desktop ,1674399.0,-0.08452694144012472,-0.02048853174391996,-0.026839074214929915,-0.12735067718990548
147,2017-09-19,Existing,Store Collection,Desktop ,373425.0,-0.06785567855678556,-0.0635583901473499,-0.027712541099107563,-0.15129151291512916
148,2017-09-19,Existing,Store Collection,Mobile ,341255.0,-0.05130309870716191,-0.06965174129353234,-0.05510346431062543,-0.16601682741637594
149,2017-09-19,Existing,Home Delivery,Mobile ,1539996.0,-0.022877164056059357,-0.03459185825775153,-0.059809919161022504,-0.11309769167353668
150,2017-09-19,New,Store Collection,Mobile ,2963.0,-0.13114754098360656,-0.05660377358490566,-0.08,-0.2459016393442623
151,2017-09-19,New,Home Delivery,Mobile ,17402.0,-0.12944162436548223,-0.16034985422740525,-0.08680555555555555,-0.33248730964467005
152,2017-09-20,Existing,Store Collection,Mobile ,342058.0,-0.06990014265335236,-0.06879929886064855,-0.017411764705882352,-0.14897085795801915
153,2017-09-20,New,Store Collection,Desktop ,33961.0,-0.006172839506172839,-0.08488612836438923,-0.006787330316742082,-0.09670781893004116
154,2017-09-20,Existing,Home Delivery,Mobile ,1558898.0,-0.04153323151204612,-0.0768993523182893,-0.01960129190332999,-0.13258116963097996
155,2017-09-20,New,Home Delivery,Desktop ,311847.0,-0.06327160493827161,-0.15015297717109907,-0.02076986984214899,-0.2204585537918871
156,2017-09-20,New,Store Collection,Mobile ,2965.0,-0.1774193548387097,-0.0392156862745098,-0.04081632653061224,-0.24193548387096775
157,2017-09-20,Existing,Home Delivery,Desktop ,1685574.0,-0.05090603861156372,-0.03220268442409739,-0.051497070364994894,-0.1287710462647509
158,2017-09-20,New,Home Delivery,Mobile ,18239.0,-0.1271393643031785,-0.23529411764705882,-0.07692307692307693,-0.38386308068459657
159,2017-09-20,Existing,Store Collection,Desktop ,358445.0,-0.07804593226936551,-0.05235381042854127,-0.07885943417242147,-0.19521214480342547
160,2017-09-21,Existing,Home Delivery,Mobile ,1551763.28,-0.13070591169867798,-0.05853658536585366,-0.013044803413593417,-0.19226739835370416
161,2017-09-21,Existing,Store Collection,Desktop ,340187.88,-0.1114727420667209,-0.12133699633699634,-0.027357998957790515,-0.24064279902359642
162,2017-09-21,Existing,Home Delivery,Desktop ,1541537.96,-0.1504054928105876,-0.02600140548137737,-0.0382996632996633,-0.20418926314742028
163,2017-09-21,Existing,Store Collection,Mobile ,329021.62,-0.1426042486231314,-0.11264051387933012,-0.039038262668045505,-0.268882769472856
164,2017-09-21,New,Home Delivery,Desktop ,284648.92,-0.13508109309042435,-0.12124325712817878,-0.043846828412744815,-0.2732726060875361
165,2017-09-21,New,Store Collection,Desktop ,32987.42,-0.12753036437246965,-0.058004640371229696,-0.04926108374384237,-0.21862348178137653
166,2017-09-21,New,Home Delivery,Mobile ,16628.6,-0.18925831202046037,-0.1892744479495268,-0.058365758754863814,-0.38107416879795397
167,2017-09-21,New,Store Collection,Mobile ,2757.02,-0.25,-0.022222222222222223,-0.09090909090909091,-0.3333333333333333
168,2017-09-22,Existing,Store Collection,Desktop ,357858.0,-0.15176151761517614,-0.13235965312642628,-0.015255128879537085,-0.27526132404181186
169,2017-09-22,New,Home Delivery,Desktop ,289155.28,-0.16068262411347517,-0.1291259572220755,-0.014251061249241965,-0.27947695035460995
170,2017-09-22,Existing,Store Collection,Mobile ,328238.6,-0.18416896960126333,-0.06847326397290104,-0.036883116883116886,-0.26806158705092775
171,2017-09-22,Existing,Home Delivery,Mobile ,1520031.7,-0.1442370251739152,-0.028364231826422597,-0.042735042735042736,-0.2040438416495671
172,2017-09-22,Existing,Home Delivery,Desktop ,1590664.24,-0.10479911832481716,-0.03917179630665921,-0.04356435643564356,-0.17733694018635407
173,2017-09-22,New,Store Collection,Desktop ,32663.12,-0.11960784313725491,-0.08908685968819599,-0.04645476772616137,-0.23529411764705882
174,2017-09-22,New,Store Collection,Mobile ,2854.78,-0.25806451612903225,-0.043478260869565216,-0.09090909090909091,-0.3548387096774194
175,2017-09-22,New,Home Delivery,Mobile ,16849.5,-0.1760204081632653,-0.19814241486068113,-0.1274131274131274,-0.42346938775510207
176,2017-09-23,Existing,Home Delivery,Mobile ,1499865.88,-0.12032511960491794,-0.08760233918128656,-0.009742340725548007,-0.20520602911672411
177,2017-09-23,New,Store Collection,Desktop ,31992.9,-0.137524557956778,-0.09567198177676538,-0.02518891687657431,-0.23968565815324164
178,2017-09-23,Existing,Home Delivery,Desktop ,1632545.0,-0.10863647611977233,-0.09339255968906163,-0.033623223909848114,-0.21905468943330858
179,2017-09-23,New,Store Collection,Mobile ,2739.16,-0.22413793103448276,-0.044444444444444446,-0.046511627906976744,-0.29310344827586204
180,2017-09-23,New,Home Delivery,Mobile ,16933.16,-0.21553884711779447,-0.19488817891373802,-0.04365079365079365,-0.39598997493734334
181,2017-09-23,Existing,Store Collection,Desktop ,360198.6,-0.16003898635477584,-0.07240659085634718,-0.04303227420565424,-0.2543859649122807
182,2017-09-23,Existing,Store Collection,Mobile ,340364.6,-0.14665592264302982,-0.08616619452313504,-0.018858176181865152,-0.23489121676067687
183,2017-09-23,New,Home Delivery,Desktop ,292486.64,-0.15951187622575724,-0.10344827586206896,-0.09600925390399075,-0.31880584005229895
184,2017-09-24,Existing,Store Collection,Mobile ,340988.76,-0.16583316663332667,-0.08081534772182254,-0.010696582311505349,-0.24144828965793158
185,2017-09-24,Existing,Home Delivery,Mobile ,1464108.28,-0.14086349760139555,-0.10998307952622674,-0.00652724968314322,-0.24034501138731404
186,2017-09-24,New,Store Collection,Desktop ,32143.3,-0.15414258188824662,-0.0979498861047836,-0.015151515151515152,-0.24855491329479767
187,2017-09-24,Existing,Home Delivery,Desktop ,1559010.68,-0.11532225374949331,-0.03699885452462772,-0.02075651243011776,-0.16573773814349413
188,2017-09-24,New,Home Delivery,Desktop ,278371.6,-0.1412590480368502,-0.18160919540229886,-0.027153558052434457,-0.3162974336477298
189,2017-09-24,Existing,Store Collection,Desktop ,346539.46,-0.1630499701373681,-0.09134157944814462,-0.026963350785340314,-0.2600039816842524
190,2017-09-24,New,Store Collection,Mobile ,2843.5,-0.25806451612903225,-0.043478260869565216,-0.045454545454545456,-0.3225806451612903
191,2017-09-24,New,Home Delivery,Mobile ,17430.42,-0.22391857506361323,-0.18688524590163935,-0.05241935483870968,-0.4020356234096692
192,2017-09-25,New,Store Collection,Desktop ,32074.68,-0.11422845691382766,-0.1085972850678733,-0.017766497461928935,-0.22444889779559118
193,2017-09-25,Existing,Home Delivery,Mobile ,1470504.98,-0.14746588693957116,-0.06813764719332342,-0.032756716967243284,-0.23157894736842105
194,2017-09-25,Existing,Home Delivery,Desktop ,1615483.06,-0.14571567672833496,-0.05881347238844247,-0.04819860732667272,-0.23471275559883154
195,2017-09-25,Existing,Store Collection,Desktop ,342118.64,-0.1535829307568438,-0.038763376932223544,-0.049233052944087086,-0.22644927536231885
196,2017-09-25,Existing,Store Collection,Mobile ,325412.96,-0.1257760865211296,-0.1108820160366552,-0.053336768874001544,-0.26416983777288205
197,2017-09-25,New,Home Delivery,Mobile ,17185.08,-0.17135549872122763,-0.23148148148148148,-0.0642570281124498,-0.4040920716112532
